business_name,phone,email,website,address,city,rating,reviews,category,lead_score
Air Tech of Houston AC & Plumbing,(832) 680-5546,,https://www.airtechofhouston.com/locations/houston-tx/?utm_source=google-gbp&utm_medium=organic&utm_campaign=*19*air-tech-houston,"2114 Lou Ellen Ln, Houston, TX 77018",Houston TX,4.9,5785,HVAC contractor,100
Cool Care Heating and Air Conditioning,(713) 979-5132,,https://www.coolcareac.com/?utm_source=gbp&utm_medium=organic,"2015 Bauer Dr, Houston, TX 77080",Houston TX,5,336,HVAC contractor,100
Aire Serv of Central & West Houston,(832) 432-7888,,https://aireserv.com/central-west-houston/?cid=LSTL_ASV-US000187&utm_source=gmb&utm_campaign=local&utm_medium=organic,"3100 Weslayan St Suite 232, Houston, TX 77027",Houston TX,4.9,198,HVAC contractor,100
Bellaire Air Conditioning,(713) 428-2279,,https://www.bellaireair.com/?utm_source=google&utm_medium=organic&utm_term=gbp,"5414 Ashbrook Dr, Houston, TX 77081",Houston TX,4.9,483,HVAC contractor,100
Mission Air Conditioning & Plumbing,(281) 502-2062,,https://www.missionac.com/locations/houston-tx/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"1630 Elmview Dr, Houston, TX 77080",Houston TX,4.8,2864,HVAC contractor,100
Dave Lane's Hi-Tech Mechanical Inc.,(713) 465-6345,,http://www.davelaneair.com/,,Houston TX,4.9,1008,HVAC contractor,100
Ace Comfort Air Conditioning & Heating,(281) 658-5141,,http://www.acecomfort-tx.com/,"601 Milwaukee St, Houston, TX 77009",Houston TX,5,179,HVAC contractor,100
"Air Current AC & Heat, LLC",(713) 459-2971,,https://www.aircurrenthouston.com/,"8703 Bonhomme Rd, Houston, TX 77074",Houston TX,5,168,HVAC contractor,100
Revolution Air,(713) 213-4966,,http://www.revairtx.com/,"1300 W 19th St #7827, Houston, TX 77008",Houston TX,4.7,123,HVAC contractor,100
Bodensteiner Service Inc,(713) 868-0050,,https://www.bsiairhouston.com/,"3403 Houston Ave, Houston, TX 77009",Houston TX,5,1053,Air conditioning repair service,100
JAVCO Air Conditioning & Heating,(832) 731-6165,,https://javcoac.com/,,Houston TX,5,214,Air conditioning repair service,100
One Hour Air Conditioning & Heating® of Houston,(281) 407-9754,,https://www.onehourheatandair.com/houston/?utm_source=organic&utm_medium=GBP&utm_campaign=gbp_main,"4455 W Sam Houston Pkwy N, Houston, TX 77041",Houston TX,4.8,10034,HVAC contractor,100
"Master AC and Heat, LLC- The Heights",(713) 750-9769,,http://masteracandheat.com/,"2607 North Fwy, Houston, TX 77009",Houston TX,4.8,166,Air conditioning contractor,100
