company_name,email,phone,website,domain,address,city,province,rating,reviews,category,google_maps_url
Silver Lotus Day Spa,,,,,"751 Herring Cove Rd, Halifax, NS B3R 2A2, Canada",Halifax,Nova Scotia,5,4,Day spa,https://www.google.com/maps/search/?api=1&query=Silver%20Lotus%20Day%20Spa&query_place_id=ChIJlZS6qTcZWksRElc51XV_Y-M
Bedford Skin Clinic-Halifax,info@bedfordskinclinic.ca,+1 902-876-8994,https://www.bedfordskinclinic.ca/,www.bedfordskinclinic.ca,"397 Bedford Hwy Unit 301, Halifax, NS B3M 2C8, Canada",Halifax,Nova Scotia,5,2,Medical spa,https://www.google.com/maps/search/?api=1&query=Bedford%20Skin%20Clinic-Halifax&query_place_id=ChIJCRvvBwYhWksR8LeeLW1lVRA
Storm Sanctuary and Day Spa,,+1 902-495-8037,http://www.stormsanctuarydayspa.com/,www.stormsanctuarydayspa.com,"36 Collins Grove, Dartmouth, NS B2W 5Y1, Canada",Dartmouth,Nova Scotia,5,4,Day spa,https://www.google.com/maps/search/?api=1&query=Storm%20Sanctuary%20and%20Day%20Spa&query_place_id=ChIJ_fc0ZVklWksRcMeHeBQ_SUQ
Nicole Neve Esthetics & Spa,,+1 902-440-4611,,,"112 Greenpark Close Suite 101, Halifax, NS B3S 0H2, Canada",Halifax,Nova Scotia,0,0,Day spa,https://www.google.com/maps/search/?api=1&query=Nicole%20Neve%20Esthetics%20%26%20Spa&query_place_id=ChIJp8P6kmYhWksRswNm358rp3U
Lauren Landry RN - Halifax Injector: Botox and Dermal Fillers,,+1 902-789-1174,https://www.instagram.com/lauren.rn/?hl=en,www.instagram.com,"6461 Quinpool Rd, Halifax, NS B3L 1B1, Canada",Halifax,Nova Scotia,0,0,Medical spa,https://www.google.com/maps/search/?api=1&query=Lauren%20Landry%20RN%20-%20Halifax%20Injector%3A%20Botox%20and%20Dermal%20Fillers&query_place_id=ChIJQZCycyUhWksRE1q07JznWw4
LMX Medispa,,+1 709-896-6523,,,"6528 Bayers Rd, Halifax, NS B3L 2B3, Canada",Halifax,Nova Scotia,0,0,Medical spa,https://www.google.com/maps/search/?api=1&query=LMX%20Medispa&query_place_id=ChIJ2Qu7EKshWksR0tX8t7cgeJE
Danielle Blair RN Aesthetic Nurse - Halifax Botox & Dermal Fillers,,+1 902-333-3264,https://danielleaesthetics.com/,danielleaesthetics.com,"480 Parkland Dr, Halifax, NS B3S 1P9, Canada",Halifax,Nova Scotia,0,0,Medical spa,https://www.google.com/maps/search/?api=1&query=Danielle%20Blair%20RN%20Aesthetic%20Nurse%20-%20Halifax%20Botox%20%26%20Dermal%20Fillers&query_place_id=ChIJKa6t8UAhWksRzUSZ6fSOy8E
Fraiche Face,,+1 902-830-5716,,,"5 Pleasant St, Halifax Regional Municipality, NS B2Y 1M1, Canada",Halifax Regional Municipality,Nova Scotia,0,0,Medical spa,https://www.google.com/maps/search/?api=1&query=Fraiche%20Face&query_place_id=ChIJQ7GHbOQjWksR5qYIBKvlN9g
1447 Hollis St,experience@thewinespa.ca,+1 902-414-7887,https://www.thewinespa.ca/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=2165780733588748822,www.thewinespa.ca,"Hollis St #1447, Halifax, NS B3J 0H9, Canada",Halifax,Nova Scotia,0,0,Day spa,https://www.google.com/maps/search/?api=1&query=1447%20Hollis%20St&query_place_id=ChIJlf3hwJ8jWksRedCxF5Sg4Yk
Donaco's Aesthetic Clinic,,+1 902-466-3661,,,"1088 Cole Harbour Rd, Dartmouth, NS B2V 1E7, Canada",Dartmouth,Nova Scotia,0,0,Nail salon,https://www.google.com/maps/search/?api=1&query=Donaco's%20Aesthetic%20Clinic&query_place_id=ChIJ_-pN_pkkWksRzfSER3UgG6k
Natural Aesthetics Clinic,,,,,"12 Ella Ln, Bedford, NS B4B 2J6, Canada",Bedford,Nova Scotia,0,0,Medical spa,https://www.google.com/maps/search/?api=1&query=Natural%20Aesthetics%20Clinic&query_place_id=ChIJHbUA4S6LWUsRZTS740BPYy4
Amanda Esthetics,,,https://www.fresha.com/book-now/amandas-esthetics-bn90j0fg/all-offer?pId=636622,www.fresha.com,"1550 Bedford Hwy Unit 103, Bedford, NS B4A 1E6, Canada",Bedford,Nova Scotia,5,2,Spa,https://www.google.com/maps/search/?api=1&query=Amanda%20Esthetics&query_place_id=ChIJHU4BKLaJWUsRPwSUv5fQeR4
