company_name,email,phone,website,domain,address,city,province,rating,reviews,category,google_maps_url
Evergreen Dental,,+1 902-442-0200,https://www.evergreendentistry.ca/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp,www.evergreendentistry.ca,"530 Portland St, Dartmouth, NS B2Y 4V6, Canada",Dartmouth,Nova Scotia,4.9,485,Dentist,https://www.google.com/maps/search/?api=1&query=Evergreen%20Dental&query_place_id=ChIJQ2MJ1vIjWksRu9DTD6YF5ro
Dartmouth Dental Centre,,+1 902-463-0001,http://www.dartmouthdental.ca/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=455296107804237935,www.dartmouthdental.ca,"41 Countryview Dr, Dartmouth, NS B3B 0G4, Canada",Dartmouth,Nova Scotia,4.5,43,Dentist,https://www.google.com/maps/search/?api=1&query=Dartmouth%20Dental%20Centre&query_place_id=ChIJ0wT4B1whWksROjmMkZxOUUA
Mic Mac Dental Centre,frontdesk@micmacdental.ca,+1 902-463-0880,http://www.micmacdentalcentre.ca/,www.micmacdentalcentre.ca,"Mic Mac Mall, 21 Micmac Blvd 3rd Level, Dartmouth, NS B3A 4N3, Canada",Dartmouth,Nova Scotia,4.5,205,Dentist,https://www.google.com/maps/search/?api=1&query=Mic%20Mac%20Dental%20Centre&query_place_id=ChIJq6qqOqomWksRSm7tCQsUXpU
Miller Dental Health Centre,user@domain.com,+1 902-434-3117,https://millerdentalhealthcentre.com/,millerdentalhealthcentre.com,"114 Woodlawn Rd, Dartmouth, NS B2W 1L3, Canada",Dartmouth,Nova Scotia,5,372,Dentist,https://www.google.com/maps/search/?api=1&query=Miller%20Dental%20Health%20Centre&query_place_id=ChIJYxOGSoojWksRiIwmmzZpTAI
Hillside Family Dental Associates,hillsidedental@eastlink.ca,+1 902-434-4701,http://www.hillsidefamilydental.ca/,www.hillsidefamilydental.ca,"650 Portland St, Dartmouth, NS B2W 6A3, Canada",Dartmouth,Nova Scotia,4.8,287,Dentist,https://www.google.com/maps/search/?api=1&query=Hillside%20Family%20Dental%20Associates&query_place_id=ChIJF9SAMIYjWksR6M7WOW6lqB0
Alderney Dental Group,,+1 902-466-7544,https://www.alderneydental.com/site/home?utm_source=G&utm_medium=LPM&utm_campaign=DentalCorp,www.alderneydental.com,"81 Alderney Dr, Dartmouth, NS B2Y 2N7, Canada",Dartmouth,Nova Scotia,4.9,567,Dental clinic,https://www.google.com/maps/search/?api=1&query=Alderney%20Dental%20Group&query_place_id=ChIJA1zcV-cjWksR4M3wITL9Mto
Woodlawn Dental Centre,reception@woodlawndental.ca,+1 902-434-1720,https://www.woodlawndental.ca/,www.woodlawndental.ca,"599 Portland St, Dartmouth, NS B2W 6K1, Canada",Dartmouth,Nova Scotia,4.8,51,Dental clinic,https://www.google.com/maps/search/?api=1&query=Woodlawn%20Dental%20Centre&query_place_id=ChIJM-z7oPpSV0AR6CRSlfPNK_4
Tacoma Dental Centre,info@tacomadental.ca,+1 902-434-3706,https://www.tacomadental.ca/,www.tacomadental.ca,"50 Tacoma Dr, Dartmouth, NS B2W 3E6, Canada",Dartmouth,Nova Scotia,4.8,85,Dentist,https://www.google.com/maps/search/?api=1&query=Tacoma%20Dental%20Centre&query_place_id=ChIJmx_hFQkkWksRCOca4wEOfDk
Dentistry4U,info@dentistry4u.life,+1 902-435-4848,http://www.dentistry4u.life/,www.dentistry4u.life,"133 Baker Dr Unit 106, Dartmouth, NS B2W 0M6, Canada",Dartmouth,Nova Scotia,4.6,144,Dental clinic,https://www.google.com/maps/search/?api=1&query=Dentistry4U&query_place_id=ChIJ_QRwppojWksRwB2PHSOF2D4
Westphal Dental,,+1 902-434-1411,http://westphaldental.ca/,westphaldental.ca,"99 Main St, Dartmouth, NS B2X 1R4, Canada",Dartmouth,Nova Scotia,4.9,75,Dental clinic,https://www.google.com/maps/search/?api=1&query=Westphal%20Dental&query_place_id=ChIJtRxeQOs6VEARoHa376u2Yd4
Portland Dental Associates,,+1 902-465-2140,,,"44 Portland St, Dartmouth, NS B2Y 1H3, Canada",Dartmouth,Nova Scotia,4.7,18,Dentist,https://www.google.com/maps/search/?api=1&query=Portland%20Dental%20Associates&query_place_id=ChIJJy4EROcjWksRCpLnfwb6w2I
Alliance Dental Dartmouth,infodart@alliancedental.ca,+1 902-435-0473,https://www.alliancedentaldartmouth.ca/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,www.alliancedentaldartmouth.ca,"635 Portland Hills Dr #204, Dartmouth, NS B2W 0J7, Canada",Dartmouth,Nova Scotia,4.7,62,Dentist,https://www.google.com/maps/search/?api=1&query=Alliance%20Dental%20Dartmouth&query_place_id=ChIJW14cRQkkWksR8HoaZabS_sc
Burnside Dental Centre,contact@burnsidedental.ca,+1 902-468-2361,http://burnsidedental.ca/,burnsidedental.ca,"202 Brownlow Ave Unit C-CA, Dartmouth, NS B3B 1T5, Canada",Dartmouth,Nova Scotia,4.8,16,Dentist,https://www.google.com/maps/search/?api=1&query=Burnside%20Dental%20Centre&query_place_id=ChIJKftaE8YmWksR4IDnPzO1KHM
Cole Harbour Dental Centre,,+1 902-435-5290,http://chdc.ca/,chdc.ca,"4 Forest Hills Pkwy, Dartmouth, NS B2W 5G7, Canada",Dartmouth,Nova Scotia,4.7,100,Dental clinic,https://www.google.com/maps/search/?api=1&query=Cole%20Harbour%20Dental%20Centre&query_place_id=ChIJIR_Jp4UkWksRYOaltt2EAj0
Ocean Park Dental,info@oceanparkdental.ca,+1 902-469-0283,https://www.oceanparkdental.ca/,www.oceanparkdental.ca,"30 Ragus Rd, Dartmouth, NS B2Y 4R6, Canada",Dartmouth,Nova Scotia,4.7,28,Dentist,https://www.google.com/maps/search/?api=1&query=Ocean%20Park%20Dental&query_place_id=ChIJhX_0-L0jWksRR0FyaARhVRQ
Millstone Dental Centre,millstone.dental@eastlink.ca,+1 902-434-5935,https://www.millstonedental.ca/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,www.millstonedental.ca,"250 Baker Dr, Dartmouth, NS B2W 6L4, Canada",Dartmouth,Nova Scotia,4.9,28,Dentist,https://www.google.com/maps/search/?api=1&query=Millstone%20Dental%20Centre&query_place_id=ChIJ_bQPR5ojWksRNF8kwJmaC6s
32 Pearls Dental,reception@32pearlsdental.ca,+1 902-461-0130,https://www.32pearlsdental.ca/,www.32pearlsdental.ca,"380 Pleasant St, Dartmouth, NS B2Y 3S5, Canada",Dartmouth,Nova Scotia,4.7,14,Dentist,https://www.google.com/maps/search/?api=1&query=32%20Pearls%20Dental&query_place_id=ChIJGwN95K8jWksR4ZPb4oUYaN8
Dr. Nancy Kennedy Dentistry,,+1 902-464-4444,https://www.nancykennedydentistry.ca/meet-our-team,www.nancykennedydentistry.ca,"190 Victoria Rd Ext, Dartmouth, NS B3A 1W2, Canada",Dartmouth,Nova Scotia,3.5,156,Dental clinic,https://www.google.com/maps/search/?api=1&query=Dr.%20Nancy%20Kennedy%20Dentistry&query_place_id=ChIJ9zEEn1ohWksRETiqa0A_Zys
Dartmouth Dental,,(508) 994-8300,,,"343 State Rd North, Dartmouth, MA 02747",Dartmouth,Nova Scotia,4.5,26,Dentist,https://www.google.com/maps/search/?api=1&query=Dartmouth%20Dental&query_place_id=ChIJqzNB9UTj5IkRQ2hWmKAkY1o
Bedford Dental Centre,info@bedforddental.ca,+1 902-835-3954,http://www.bedforddental.ca/,www.bedforddental.ca,"1658 Bedford Hwy Suite 240, Bedford, NS B4A 2B6, Canada",Bedford,Nova Scotia,4.6,54,Dentist,https://www.google.com/maps/search/?api=1&query=Bedford%20Dental%20Centre&query_place_id=ChIJByrX88WJWUsRztuqH75OBiQ
Bedford Highway Dentistry,info@bedfordhighwaydentistry.ca,+1 902-832-4228,https://bedfordhighwaydentistry.ca/,bedfordhighwaydentistry.ca,"827 Bedford Hwy #102B, Bedford, NS B4A 0J1, Canada",Bedford,Nova Scotia,5,45,Dental clinic,https://www.google.com/maps/search/?api=1&query=Bedford%20Highway%20Dentistry&query_place_id=ChIJHc-JzoiJWUsRjvDR0C55mAI
Mill Cove Dental Centre,reception@millcovedental.ca,+1 902-835-5696,https://www.millcovedental.ca/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,www.millcovedental.ca,"961 Bedford Hwy, Bedford, NS B4A 1A9, Canada",Bedford,Nova Scotia,4.8,91,Dentist,https://www.google.com/maps/search/?api=1&query=Mill%20Cove%20Dental%20Centre&query_place_id=ChIJiekQPPSJWUsREDATT3SR7lk
The Parks of West Bedford Dentistry,info@theparksdentistry.com,+1 902-431-7999,https://www.theparksdentistry.com/,www.theparksdentistry.com,"50 Gary Martin Dr, Bedford, NS B4B 0P9, Canada",Bedford,Nova Scotia,4.9,547,Dentist,https://www.google.com/maps/search/?api=1&query=The%20Parks%20of%20West%20Bedford%20Dentistry&query_place_id=ChIJYxis-YKJWUsRUeAuAOHfris
Bedford House Dentists,info@bedforddentists.com,+1 902-835-5286,https://www.bedforddentists.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,www.bedforddentists.com,"1595 Bedford Hwy #401, Bedford, NS B4A 3Y4, Canada",Bedford,Nova Scotia,4.9,200,Dentist,https://www.google.com/maps/search/?api=1&query=Bedford%20House%20Dentists&query_place_id=ChIJme2t5lc3VEARPiM9kismbRE
Bedford South Dentistry,reception@bedfordsouthdentistry.com,+1 902-433-6825,http://www.bedfordsouthdentistry.com/,www.bedfordsouthdentistry.com,"15 Peakview Way #300, Halifax, NS B3M 0G2, Canada",Halifax,Nova Scotia,4.9,560,Dentist,https://www.google.com/maps/search/?api=1&query=Bedford%20South%20Dentistry&query_place_id=ChIJqz_g0xOKWUsRSpF8aRmx1f8
Summit Dentistry,dentists@summitdentistry.net,+1 902-832-4646,https://www.summitdentistry.net/,www.summitdentistry.net,"30 Damascus Rd Suite 105, Bedford, NS B4A 0C2, Canada",Bedford,Nova Scotia,4.9,258,Dentist,https://www.google.com/maps/search/?api=1&query=Summit%20Dentistry&query_place_id=ChIJxWaOPTeIWUsRpXzbTWEQOSE
Ravines Dental Centre,ravinesdental@gmail.com,+1 902-426-4646,https://ravinesdental.ca/,ravinesdental.ca,"540 Southgate Dr, Bedford, NS B4A 0E1, Canada",Bedford,Nova Scotia,5,524,Dentist,https://www.google.com/maps/search/?api=1&query=Ravines%20Dental%20Centre&query_place_id=ChIJ8514THGLWUsRtQnzy6W0LwM
Southgate Dentistry,info@southgatedentistry.ca,+1 902-444-3878,http://www.southgatedentistry.ca/,www.southgatedentistry.ca,"84 Hogan Ct Unit d2, Bedford, NS B4B 2G2, Canada",Bedford,Nova Scotia,4.8,160,Dental clinic,https://www.google.com/maps/search/?api=1&query=Southgate%20Dentistry&query_place_id=ChIJ4cVjZgOKWUsRZLzTmF6vHlc
Hammond Dental Centre,info@hammonddental.ca,+1 902-835-1031,http://www.hammonddental.ca/,www.hammonddental.ca,"950 Bedford Hwy, Bedford, NS B4A 1B2, Canada",Bedford,Nova Scotia,4.4,33,Dentist,https://www.google.com/maps/search/?api=1&query=Hammond%20Dental%20Centre&query_place_id=ChIJ01ZscfSJWUsR4b0iy6a3hM8
Basin View Family Dentistry,frontdesk@basinviewsmiles.ca,+1 902-832-4490,http://www.basinviewsmiles.ca/,www.basinviewsmiles.ca,"200 Waterfront Dr, Bedford, NS B4A 4J4, Canada",Bedford,Nova Scotia,4.1,21,Dentist,https://www.google.com/maps/search/?api=1&query=Basin%20View%20Family%20Dentistry&query_place_id=ChIJfx1UKPGJWUsRciyaD-s12KQ
Granville Dental Centre,granvillereception@gmail.com,+1 902-835-6554,https://www.granvilledentists.com/,www.granvilledentists.com,"1083 Bedford Hwy, Bedford, NS B4A 1B7, Canada",Bedford,Nova Scotia,4.3,132,Dentist,https://www.google.com/maps/search/?api=1&query=Granville%20Dental%20Centre&query_place_id=ChIJ80SBIvKJWUsRCcqe60mBU4A
Brookline Dentistry,info@brooklinedentistry.ca,+1 902-832-8885,http://brooklinedentistry.ca/,brooklinedentistry.ca,"6 Bloom Ln, Bedford, NS B4B 2E6, Canada",Bedford,Nova Scotia,4.9,77,Dental clinic,https://www.google.com/maps/search/?api=1&query=Brookline%20Dentistry&query_place_id=ChIJe-PsV9qLWUsRyOR_JKf8uI4
