domain,company_name,contact_name,contact_title
laseraway.com,LaserAway,,Owner
europeanwax.com,European Wax Center,,Regional Manager
idealimage.com,IdealImage,,VP Operations
sonterra-derm.com,Sonterra Dermatology,,Practice Owner
westlakedermatology.com,Westlake Dermatology,,Managing Director
millerortho.com,Miller Orthodontics,,Practice Owner
aspendentalgroup.com,Aspen Dental,,Regional Director
gentledentist.com,Gentle Dentist,,Practice Owner
handcraftedsmiles.com,Handcrafted Smiles,,Owner
spavia.com,Spavia Day Spa,,Franchise Owner
massageenvy.com,Massage Envy,,Area Developer
orangetheory.com,Orangetheory Fitness,,Studio Manager
drybar.com,Drybar,,General Manager
sweetgreen.com,Sweetgreen,,VP Operations
thejointhchiro.com,The Joint Chiropractic,,Franchise Owner
aimedicalspa.com,AI Medical Spa,,Practice Owner
skinlaundry.com,Skin Laundry,,CEO
everybodylosangeles.com,Everybody Los Angeles,,Owner
hydrafacial.com,HydraFacial,,VP Sales
coolsculpting.com,CoolSculpting,,Marketing Director
